Name,Role_Type,Role,Affiliation,ORCID,Primary_Fields,Keywords,Subfields_Specialties,Methods_Techniques,Distinctions,Expertise,Keck_Affiliation,Keck_Affiliation_Details
John E. Sader,Consultant,Professor,California Institute of Technology,https://orcid.org/0000-0002-7096-0627,Applied Mathematics; Physics; Engineering,AFM; NEMS/MEMS; fluid-structure interaction; rarefied gas dynamics; nanomechanics,Fluid mechanics; Solid mechanics; Nanomechanics; Rarefied gas dynamics; Plasmonics; Colloid science; Mass spectrometry; Fluid-structure interaction; Vortex dynamics,Atomic force microscopy (AFM) cantilever calibration (Sader Method); Lattice Boltzmann method; Linear/nonlinear oscillatory flow analysis; Nanoelectromechanical systems (NEMS),Fellow Australian Academy of Science; Fellow Australian Mathematical Society; Fellow Australasian Fluid Mechanics Society,Micro/nanomechanical systems; AFM theory and cantilever calibration; fluid-structure interaction at small scales; rarefied gas dynamics; plasmonics; colloid science. Relevant for S&E proposals in nanoscale instrumentation; MEMS/NEMS; and quantitative biophysics.,,
Ram Seshadri,Consultant,Professor,University of California Santa Barbara,https://orcid.org/0000-0001-5858-4027,Materials Science; Solid State Chemistry; Condensed Matter Physics,functional inorganic materials; solid-state chemistry; thermoelectrics; phosphors; battery materials,Crystal chemistry; Structure-property relations in functional inorganic materials; Phosphors/solid-state lighting; Magnetics; Thermoelectrics; Ferroics/multiferroics; Photovoltaics; Battery materials; Magnetocalorics; Frustrated magnetism; Polar materials; Oxide nanomaterials; Heterogeneous catalysis,First-principles electronic structure calculations; Solvothermal synthesis; Structural characterization; Neutron/X-ray diffraction; Compositional tuning/solid solution,Fellow American Physical Society; Fellow Royal Society of Chemistry; Fellow Materials Research Society,Functional inorganic materials including thermoelectrics; phosphors/solid-state lighting; magnetics; battery cathodes; multiferroics; and photovoltaics. Strong in structure-property relationships and first-principles computation. Relevant for S&E proposals in solid-state chemistry and energy materials.,,
David Goldhaber-Gordon,Consultant,Professor,Stanford University,https://orcid.org/0000-0001-8549-0560,Condensed Matter Physics; Mesoscopic Physics; Nanoelectronics,quantum transport; correlated electrons; topological matter; 2D materials; nanofabrication,Quantum transport in low-dimensional materials; Kondo effect; Quantum dots and quantum point contacts; 2D electron gases; Graphene physics; Topological insulators; Moiré superlattices; Quantum anomalous Hall effect; Fractional Chern insulators; Twisted bilayer graphene; Electron-electron interactions; Quantum criticality; Non-Fermi liquids; Delafossite metals,Cryogenic transport measurements (millikelvin); Nanofabrication; Scanning gate microscopy; Ionic liquid gating; van der Waals heterostructure assembly; Precision electrical measurements,Fellow American Physical Society; Oliver E. Buckley Condensed Matter Prize (APS) 2023,Quantum transport in low-dimensional and correlated electron systems; topological matter; moiré superlattices; 2D materials; nanoscale device physics. Past Keck grantee. Relevant for S&E proposals in condensed matter physics and quantum materials.,Past Grantee,
M. Cristina Marchetti,Consultant,Professor,University of California Santa Barbara,https://orcid.org/0000-0003-3583-4999,Theoretical Physics; Soft Matter Physics; Biological Physics; Nonequilibrium Statistical Mechanics,active matter; biological physics; collective cell behavior; soft matter theory; nonequilibrium systems,Active matter theory; Active nematics; Collective cell migration; Tissue mechanics and rheology; Motility-induced phase separation; Topological defects in active fluids; Flocking and self-propelled particles; Wound healing biophysics; Morphogenesis; Bacterial dynamics,Continuum hydrodynamic theory; Bottom-up and top-down modeling; Computational simulation; Vertex models; Phase-field models; Nonequilibrium statistical mechanics,NAS member; Fellow American Physical Society; Simons Investigator,Theory of active matter; collective cell migration; tissue mechanics; motility-induced phase separation; topological defects in active fluids. Relevant for S&E proposals at the physics-biology interface including cell motility; tissue mechanics; and emergent collective behavior.,,
Douglas Natelson,Consultant,Professor,Rice University,https://orcid.org/0000-0003-2370-9859,Condensed Matter Physics; Nanoscience; Nanoelectronics,strongly correlated electrons; nanoscale transport; plasmonics; molecular junctions; nanofabrication,Strongly correlated electron materials; Nanoscale quantum transport; Atomic- and molecular-scale junctions; Plasmonics and nano-optics; Spin transport in magnetic insulators; Organic semiconductors; Quantum coherence and decoherence; Nonequilibrium quantum systems; Photothermoelectric effects; Strange metals; VO2 and transition metal oxides,Nanofabrication; Low-temperature electrical transport; Single-molecule Raman spectroscopy; Scanning tunneling microscopy; Electromigration nanogap fabrication; Surface-enhanced infrared absorption; Current noise measurements; Ionic liquid gating,Fellow American Physical Society,Nanoscale charge; spin; and heat transport; strongly correlated electron materials; plasmonics; molecular junctions; nonequilibrium quantum systems. Relevant for S&E proposals in condensed matter physics; nanoscale devices; and energy conversion.,,
Andrea M. Ghez,Board,Professor,University of California Los Angeles,https://orcid.org/0000-0003-3230-5055,Observational Astrophysics; Galactic Astronomy; Gravitational Physics,observational astrophysics; supermassive black holes; galactic center; adaptive optics; general relativity,Supermassive black holes; Galactic center dynamics; Stellar orbital mechanics near black holes; Tests of general relativity in strong gravity; Galaxy formation and evolution; Star formation in extreme environments; High-resolution infrared astronomy,Adaptive optics (Keck Observatory); Near-infrared imaging and spectroscopy; Speckle imaging; Stellar kinematics and astrometry,Nobel Prize in Physics 2020; NAS member; MacArthur Fellow; Crafoord Prize 2012,Observational astrophysics; galactic center dynamics; supermassive black holes; tests of general relativity in strong gravity; adaptive optics instrumentation. Past Keck grantee with extensive Keck Observatory research history. Relevant for S&E proposals in astronomy; astrophysics; and high-resolution instrumentation.,Board Member; Past Grantee,
William R. Brody,Board,Trustee,W.M. Keck Foundation,,Radiology; Biomedical Engineering; Medical Imaging; Electrical Engineering,medical imaging; dual-energy X-ray subtraction; digital subtraction angiography; cardiovascular imaging; medical instrumentation,Cardiovascular imaging; CT; MRI; Dual-energy X-ray subtraction imaging; Digital subtraction angiography; Hybrid subtraction angiography; Gated cardiac CT; Doppler ultrasound; Medical acoustics; Digital radiography; Cancer imaging; AI in radiology; Medical device development,Dual-energy scanned projection radiography; Hybrid subtraction angiography; Gated cardiac CT; Intravenous digital subtraction angiography; Doppler ultrasound flowmetry; MRI system development; Quantitative cardiovascular imaging,NAM member; NAE member; Fellow American Academy of Arts and Sciences; Fellow IEEE; Fellow ISMRM; Fellow American College of Radiology; Fellow American College of Cardiology; Gold Medal Radiological Society of North America 2010; Fellow American Institute for Medical and Biological Engineering; IEEE Medal for Innovations in Healthcare Technology,Physician-scientist and inventor whose first- and last-author research established foundational methods in medical imaging: Doppler ultrasound flowmetry; dual-energy X-ray subtraction imaging (sole-inventor US patent); intravenous digital subtraction angiography; hybrid subtraction angiography; and gated cardiac CT. More than 100 publications spanning cardiovascular imaging; CT; MRI; digital radiography; and medical acoustics. Co-founded multiple medical device companies translating imaging innovations into clinical products. Relevant for Medical Research and S&E proposals in medical imaging; biomedical instrumentation; cardiovascular imaging; and AI in radiology.,Board Member,
James S. Economou,Board,Professor of Surgery,University of California Los Angeles,,Surgical Oncology; Tumor Immunology; Cancer Immunotherapy; Gene Therapy,tumor immunology; cancer immunotherapy; CAR-T; adoptive cell therapy; surgical oncology,Adoptive cell therapy; CAR-T cell therapy; TCR-engineered T cells; Dendritic cell vaccination; DNA vaccines; Cytokine biology; Melanoma immunotherapy; Hepatocellular carcinoma immunotherapy; Gene therapy vectors; Tumor microenvironment,Adoptive T cell transfer; Dendritic cell engineering and vaccination; Adenoviral and retroviral gene transfer; TCR transgenic lymphocyte generation; Flow cytometry; Clinical trial design,Fellow American Surgical Association; Fellow Society of Surgical Oncology,Tumor immunology; cancer immunotherapy; adoptive cell therapy (CAR-T; TCR-engineered T cells); dendritic cell vaccination; gene therapy; tumor microenvironment; surgical oncology. Relevant for Medical Research proposals in cancer biology; immunology; and cell-based therapies.,Board Member,
Kelsey C. Martin,Board,Professor of Biological Chemistry; Dean Emerita David Geffen School of Medicine,University of California Los Angeles; Simons Foundation,https://orcid.org/0000-0003-0932-563X,Neuroscience; Cell Biology; Molecular Biology; Synaptic Plasticity; Learning and Memory,synaptic plasticity; local mRNA translation; learning and memory; RNA biology; neuroscience,Synaptic plasticity and long-term memory; Local mRNA translation at synapses; Synapse-to-nucleus signaling; Activity-dependent transcription; RNA localization in neurons; Epitranscriptomics (m6A); Neuronal gene expression regulation; Autism spectrum disorder molecular mechanisms,Live cell imaging of local translation; Transcriptome and translatome profiling; Ribosome profiling; RNA-seq; Hippocampal LTP electrophysiology; miRNA functional analysis; Mouse behavioral memory tasks,NAS member; NAM member; AAAS Fellow; Pasarow Award in Neuropsychiatry,Synaptic plasticity and long-term memory; local mRNA translation at synapses; synapse-to-nucleus signaling; activity-dependent transcription; epitranscriptomics (m6A). Relevant for Medical Research proposals in neuroscience; cell biology; and RNA biology.,Board Member; Past Grantee,
Edward M. Stolper,Board,William E. Leonhard Professor of Geology,California Institute of Technology,,Geology; Geochemistry; Petrology; Planetary Science; Cosmochemistry,igneous petrology; silicate melts; volatiles in magmas; experimental petrology; planetary geochemistry,Igneous petrology (terrestrial and extraterrestrial); Volatiles in silicate melts; Experimental petrology; Stable isotope geochemistry; Meteorite petrology; Mars geochemistry; Lunar geochemistry; Mantle melting and magma genesis; Mid-ocean ridge basalts,High-pressure/high-temperature experiments; Phase equilibria; NMR spectroscopy; Electron microprobe; SIMS; Stable isotope analysis; Mars rover instrument science,NAS member; Royal Society Foreign Member; Academia Europaea; Wollaston Medal 2019; Roebling Medal 2017; Goldschmidt Award 2012,Igneous petrology; volatile solubility in silicate melts; experimental petrology; planetary and extraterrestrial geochemistry; Mars and lunar geochemistry; mantle melting. Relevant for S&E proposals in geochemistry; earth and planetary science; and experimental mineralogy.,Board Member,
